Part Description,Supplier,Part # OEM,Machine,Location Shelf and Bin,Alternate part Number,Alternate Manufacturer,NOTES,
Brass Cap,Apilion,M510020713,Zublin,Shelf A-2 Bin 1-2,,,
Pendant(remote control for support),Apilion,1014.2989,Zublin,Shelf A-1 Bin 3-5,,,
Spring Element (new),Apilion,M5148919,Zublin,Shelf A-2 Shelf 1-4,,,,
Wire Guide Lower 4-8mm (round),Apilion,M51369060109,Zublin,Shelf A-1 Bin 5-6,,,
Ball valve cooling system(DN06),Apilion,1017.0563,Zublin,,,,
Bushing wire feed by welder (large),Apilion,D172 A15.0x36,Zublin,Shelf A-1 Bin 5-4,,,
Wire transport roller w/bearing wire feed,Apilion,1017.2021,Zublin,Shelf A-1 Bin 3-4,,,
Wire transport roller,Apilion,M48130202,Zublin,Shelf A-1 Bin 3-4,,,
Cylinder block,Apilion,M51557,Zublin,,,,
Gear box for support new syle (alternative parts 1017.7142),Apilion,M51561,Zublin,,,,
Repair set for support gear box(worm wheel endless gear),Apilion,1017.7142,Zublin,,,,
Protective sleeve 320x1100 (4 reqd),Apilion,1017.2423,Zublin,,,,
Hose clamp 60-80 (4reqd),Apilion,D3017 60-80,Zublin,,,,
Hose clamp 110-130 (4 reqd),Apilion,D3017 110-130,Zublin,,,,
Hose clamp 80-100/9mm (4 reqd),Apilion,D3017 80-100,Zublin,,,,
Slide bush 7070DU for support (4 reqd),Apilion,1017.1300,Zublin,Shelf A-2 Bin 1-3,,,
Expansion bellow 900mm spindle protection (2reqd),Apilion,1017.4911,Zublin,,,,
Spindle,Apilion,M510500303,Zublin,,,,
Head for spindle 40 x 7 for support,Apilion,1017.0046,Zublin,Shelf A-2 Bin 1-2,,,
Plastic guide ring for gear box support (2 reqd),Apilion,1017.3727,Zublin,,,,
Spur wheel m=4 z=20 (white),Apilion,M510960307,Zublin,Shelf A-2 Bin 1-3,,,
Spur wheel m=4 z=19 (metal),Apilion,M513800309,Zublin,,,,
Brake Spare parts for circumferential wire reel brake,Apilion,M51550,Zublin,Shelf A-3 Bin 1-2,,,
Transformer welding,Apilion,M51685,Zublin,,,,
Current connection for transformer (pair),Apilion,M5138731,Zublin,,,,
Tranformer connection straps,Apilion,M5139832,Zublin,,,,
Vent plug EP320 20mm hole,Apilion,1017.4553,Zublin,Shelf A-1 Bin 7-5,,,
Vent plug EP320 11mm hole,Apilion,1017.4554,Zublin,Shelf A-1 Bin 7-5,,,
Shear Blade,Apilion,M515622202,Zublin,,,,
Shear brush (conical) for cutting device 5-7mm,Apilion,M513222206,Zublin,Shelf A-1 Bin 6-1,,,
Conical brush 1:10 5-6mm,Apilion,M513222208,Zublin,Shelf A-1 Bin 6-1,,,
Wire brushspiral,Apilion,1017.6082,Zublin,Shelf A-1 Bin 7-3,,,
Current connection welding head lamellar,Apilion,1017.4174,Zublin,Shelf A-2 Bin 1-2,,,
Adapter ring wire guide with bushing front part,Apilion,M509460414,Zublin,Shelf A-1 Bin 5-4,,,
Contact bridge 4-5mm for slide die,Apilion,M51414060105,Zublin,Shelf A-1 Bin 5-5,,,More in Shelf A-2 Bin 1-2
Current connection 50x18x155,Apilion,M513780711,Zublin,Shelf A-2 Bin 1-2,,,
Guiding arm,Apilion,M514430401,Zublin,Shelf A-2 Bin 1-2,,,
Cut off device 4.5-5.5mm cpmplet w/o interlock,Apilion,M5156222,Zublin,,,,
Slide die compl. 5.0mm rocking,Apilion,M512920601,Zublin,,,,
Link rocker,Apilion,M50408060102,Zublin,Shelf A-1 Bin 6-1,,,
Precision bolt slide die (shoulder bolt),Apilion,D610 8 x 50,Zublin,,,,
Bushing for guide block (small),Apilion,D172 A10.0x25,Zublin,,,,
Bushing (large),Apilion,D179B 5.1x16,Zublin,Shelf A-1 Bin 6-1,,,
Gear receiver,Apilion,M514900210,Zublin,Shelf A-2 Bin 1-1,,,
Lever right,Apilion,M514900235,Zublin,Shelf A-2 Bin 1-1,,,
Lever left,Apilion,M514900236,Zublin,Shelf A-2 Bin 1-1,,,
Guiding bolt complete welding head,Apilion,M514890703,Zublin,Shelf A-2 Bin 1-2,,,
Pressure gauge 0-4 bar for cooling,Apilion,1017.0267,Zublin,Shelf A-1 Bin 6-3,,,
Seal ring green for hydraulic pipe,Apilion,1017.7506,Zublin,,,,
Moving bush (6208),Apilion,1017.3196,Zublin,Shelf A-1 Bin 4-4,,,
Moving bush (GE 17C),Apilion,1017.3266,Zublin,Shelf A-1 Bin 5-2,,,
Moving bush (32007X),Apilion,1017.2981,Zublin,Shelf A-1 Bin 4-5,,,
Current supply left (cooling plate),Apilion,M510020714,Zublin,Shelf A-2 Bin 1-2,,,
Current supply right (cooling plate),Apilion,M510020719,Zublin,,,,
Limit switch for gate and cage retainer,Apilion,1014.3092,Zublin,,,,
Motor protection switch (3RV1011-1KA15),Apilion,1014.3475,Zublin,Shelf A-1 Bin 3-1,,,
Aux. switch for 3RV10113RV1901-1E,Apilion,na,Zublin,,,,
Fork head complete for spring element,Apilion,M514891912,Zublin,Shelf A-1 Bin 6-4,,,
Insulating bushing (10 reqd),Apilion,M514890712,Zublin,Shelf A-1 Bin 7-5,,,
Insulating plates (2 reqd),Apilion,M509460707,Zublin,Shelf A-1 Bin 7-5,,,
